Vehicle_ID,Brand,Model,Year,Mileage,Engine_Size,Price
V0000040,Ford,Truck,2011,165987,4.4,21991
V0000041,Kia,Convertible,2017,126891,1.8,27875
V0000042,Kia,Sedan,2011,154485,3.4,58038
V0000043,Honda,Van,2013,202186,4.6,64470
V0000044,BMW,Coupe,2009,137335,4.4,14458
V0000045,Toyota,SUV,2004,231114,4.9,17969
V0000046,Hyundai,Sedan,2024,101842,3.8,33783
V0000047,Mercedes,Truck,2009,283425,3.0,65129
V0000048,Honda,Convertible,2010,95965,4.7,42353
V0000049,BMW,Hatchback,2010,7138,4.1,69032
V0000050,Mercedes,SUV,2008,220120,2.7,72776
V0000051,BMW,SUV,2007,48406,2.5,58043
V0000052,Hyundai,Hatchback,2006,141474,2.1,80390
V0000053,Ford,Coupe,2024,121622,3.6,23644
V0000054,Hyundai,Sedan,2011,183293,1.1,20359
V0000055,Hyundai,Sedan,2001,227706,2.8,78668
V0000056,Nissan,Convertible,2019,73014,2.6,42101
V0000057,Volkswagen,Sedan,2020,109595,2.4,37171
V0000058,BMW,Sedan,2018,273722,1.2,75986
V0000059,Audi,Convertible,2023,74870,2.9,39945
V0000060,Ford,Van,2013,217733,4.9,19137
V0000061,Toyota,Coupe,2003,96388,2.3,26178
V0000062,Audi,SUV,2010,298750,3.0,27840
V0000063,BMW,Sedan,2010,172304,2.9,83738
V0000064,Audi,Convertible,2019,144869,3.3,14147
V0000065,Mercedes,Convertible,2008,41429,3.0,51846
V0000066,Hyundai,Hatchback,2020,171932,1.7,13910
V0000067,Mercedes,Sedan,2012,139999,1.1,60330
V0000068,BMW,Sedan,2009,91073,1.0,28717
V0000069,BMW,Sedan,2019,149363,2.6,31440
V0000070,Volkswagen,Convertible,2002,131359,3.0,90267
V0000071,Nissan,Convertible,2009,282153,4.0,65472
V0000072,Hyundai,SUV,2008,110101,3.5,52521
V0000073,Nissan,Coupe,2022,20745,1.9,56935
V0000074,Honda,Sedan,2019,29318,1.8,33144
V0000075,Hyundai,Hatchback,2002,287401,3.6,23260
V0000076,Volkswagen,SUV,2016,198416,4.8,23461
V0000077,Audi,Van,2000,133512,4.9,83548
V0000078,Ford,Coupe,2012,172042,2.9,60943
V0000079,Kia,SUV,2021,197319,4.9,30283
V0000080,Volkswagen,SUV,2007,73379,4.8,41488
V0000081,BMW,Sedan,2015,37518,3.6,42237
V0000082,Volkswagen,SUV,2017,269897,4.9,59147
V0000083,Mercedes,Convertible,2004,55008,4.6,78530
V0000084,Kia,Sedan,2000,181167,2.7,90501
V0000085,Toyota,Hatchback,2018,201058,4.8,34778
V0000086,Nissan,Hatchback,2024,117777,1.3,19415
V0000087,Ford,Sedan,2000,17954,1.4,31585
V0000088,Kia,Sedan,2024,219814,1.3,50050
V0000089,Hyundai,Hatchback,2006,230515,2.9,20511
V0000090,Honda,Truck,2003,183069,2.6,42012
V0000091,Mercedes,Sedan,2011,272660,4.6,24113
V0000092,Audi,Sedan,2008,114143,2.7,68322
V0000093,Volkswagen,SUV,2018,22326,1.6,65004
V0000094,Kia,Convertible,2016,136716,2.1,56963
V0000095,Volkswagen,Van,2024,6408,2.3,55609
V0000096,BMW,Convertible,2010,232154,2.8,49775
V0000097,Volkswagen,Hatchback,2019,259377,1.5,41432
V0000098,Ford,Truck,2022,187819,4.6,41848
V0000099,BMW,Truck,2019,168827,2.5,33512
V0000100,Toyota,Truck,2006,88037,3.7,83580
V0000101,Mercedes,Van,2018,41497,2.8,52694
V0000102,Hyundai,SUV,2004,260731,4.7,55747
V0000103,Ford,Convertible,2002,281574,2.0,27672
V0000104,Volkswagen,Hatchback,2009,186561,2.6,13671
V0000105,Ford,SUV,2018,175153,4.7,39393
V0000106,Mercedes,Coupe,2014,27036,4.1,31041
V0000107,Honda,Truck,2015,161339,3.8,41916
V0000108,Hyundai,SUV,2005,185780,2.8,52539
V0000109,Volkswagen,Hatchback,2014,125337,2.1,37486
V0000110,Mercedes,Hatchback,2012,257266,1.4,29456
V0000111,Nissan,Convertible,2000,275674,5.0,41033
V0000112,Toyota,Truck,2016,200419,4.4,14927
V0000113,BMW,Hatchback,2020,165394,2.7,57515
V0000114,Audi,SUV,2000,269688,4.7,66749
V0000115,Mercedes,Truck,2012,84053,1.2,33552
V0000116,Volkswagen,Van,2010,160002,1.1,61028
V0000117,Nissan,Convertible,2009,176133,4.0,49373
V0000118,Hyundai,Coupe,2008,129551,4.0,24111
V0000119,Honda,Sedan,2005,203016,4.0,60517
V0000120,Ford,Hatchback,2002,272312,2.7,21681
V0000121,BMW,SUV,2001,68951,3.6,81377
V0000122,Mercedes,Van,2007,65938,4.9,17538
V0000123,Mercedes,Coupe,2019,125709,1.4,21127
V0000124,Kia,Hatchback,2011,194243,3.2,63801
V0000125,Ford,Truck,2001,284500,2.0,35514
V0000126,Ford,Sedan,2009,60551,3.8,68301
V0000127,Kia,Sedan,2008,77016,1.2,60445
V0000128,Mercedes,Truck,2012,76585,4.2,21980
V0000129,Nissan,SUV,2006,236979,1.7,43414
V0000130,BMW,Hatchback,2003,297732,2.4,59815
V0000131,Mercedes,SUV,2022,125248,4.6,39204
V0000132,Kia,Hatchback,2014,34764,2.7,17058
V0000133,Audi,Convertible,2004,52334,4.3,18514
V0000134,Hyundai,Van,2024,108598,1.1,56710
V0000135,Audi,Hatchback,2015,134758,1.4,11127
V0000136,Kia,Convertible,2020,7073,1.2,27456
V0000137,Mercedes,Convertible,2009,250142,2.6,86707
V0000138,Kia,Convertible,2007,87223,4.3,56691
V0000139,BMW,Hatchback,2020,122146,2.2,73377
V0000140,Toyota,Hatchback,2004,115874,2.2,20481
V0000141,Volkswagen,Sedan,2023,197625,3.4,22686
V0000142,Honda,Hatchback,2015,180035,1.4,77357
V0000143,Nissan,Van,2023,59887,4.1,69108
V0000144,Mercedes,Coupe,2016,252616,1.2,20731
V0000145,Volkswagen,Van,2009,187793,2.7,76974
V0000146,Toyota,SUV,2021,299284,4.4,75598
V0000147,Ford,Van,2018,220899,5.0,12776
V0000148,Kia,Sedan,2011,58646,2.3,79055
V0000149,Ford,Van,2019,144105,1.4,78608
V0000150,Volkswagen,Coupe,2008,82072,2.4,41661
V0000151,Audi,Coupe,2005,202830,3.7,60231
V0000152,Mercedes,Hatchback,2013,57025,4.2,82130
V0000153,Honda,Truck,2018,94152,1.6,38049
V0000154,Nissan,SUV,2016,135548,4.1,18890
V0000155,Toyota,Coupe,2019,256743,1.8,54693
V0000156,Audi,Van,2020,202667,1.1,45584
V0000157,Audi,Truck,2010,177583,4.2,42991
V0000158,Mercedes,SUV,2000,249659,1.8,74385
V0000159,Audi,Van,2006,116044,3.1,48655
V0000160,Honda,Truck,2016,245199,3.8,26250
V0000161,Ford,Hatchback,2020,71196,4.2,31589
V0000162,Mercedes,Truck,2018,177995,1.2,19525
V0000163,Audi,Truck,2015,242546,1.3,28608
V0000164,BMW,Van,2003,380,3.3,49574
V0000165,Nissan,Truck,2000,129341,4.9,65532
V0000166,Volkswagen,Coupe,2020,267846,4.7,9648
V0000167,Volkswagen,Convertible,2012,68825,3.3,67502
V0000168,Nissan,Coupe,2002,219749,1.6,61713
V0000169,BMW,SUV,2022,223729,3.4,12130
V0000170,Audi,Coupe,2002,689,3.9,37461
V0000171,BMW,Sedan,2022,186209,5.0,9899
V0000172,Honda,Sedan,2012,65804,3.2,73133
V0000173,Hyundai,Van,2017,120159,4.5,13231
V0000174,Honda,Sedan,2002,134788,2.6,64170
V0000175,Honda,Truck,2014,12618,3.5,57783
V0000176,Nissan,Hatchback,2005,80504,3.1,65366
V0000177,Nissan,Van,2018,75464,2.2,44340
V0000178,Toyota,Hatchback,2000,84433,3.0,25061
V0000179,Volkswagen,Convertible,2011,54289,4.3,82557
V0000180,Honda,Convertible,2023,75006,1.3,35066
V0000181,Nissan,Convertible,2008,42651,3.3,78962
V0000182,Audi,Sedan,2001,254503,1.3,60231
V0000183,Toyota,Hatchback,2014,199582,3.4,24061
V0000184,Honda,Convertible,2017,191236,3.4,50030
V0000185,Nissan,SUV,2017,110432,2.7,62489
V0000186,Audi,SUV,2004,216754,2.3,88345
V0000187,Audi,Convertible,2004,90788,3.9,57119
V0000188,BMW,Sedan,2011,194035,2.3,55397
V0000189,Mercedes,Convertible,2011,119377,4.6,17297
V0000190,Nissan,SUV,2022,50195,3.7,33275
V0000191,Mercedes,SUV,2020,130098,5.0,36565
V0000192,Honda,Convertible,2012,295982,2.8,40585
V0000193,Honda,Truck,2008,178182,4.1,33202
V0000194,BMW,SUV,2006,30814,4.7,44853
V0000195,Nissan,Coupe,2016,112505,3.1,41200
V0000196,Ford,Truck,2004,26020,1.4,71669
V0000197,Kia,Convertible,2005,83948,4.6,18892
V0000198,Kia,Van,2012,75263,4.7,20248
V0000199,Kia,Hatchback,2000,138508,2.0,36887
V0000200,Honda,Convertible,2024,238369,4.6,36048
V0000201,Kia,Hatchback,2013,6201,3.3,43102
V0000202,Hyundai,Coupe,2010,125181,1.7,12476
V0000203,Audi,Truck,2024,273758,2.7,59040
V0000204,Kia,SUV,2020,217977,2.4,57291
V0000205,Nissan,Truck,2019,253154,4.4,9440
V0000206,BMW,Truck,2001,162382,2.5,69634
V0000207,Nissan,Van,2014,66154,3.5,24937
V0000208,Nissan,Hatchback,2018,242163,4.0,59696
V0000209,BMW,Coupe,2008,288862,2.4,58829
V0000210,Nissan,Convertible,2010,228591,5.0,66199
V0000211,Ford,Truck,2016,181123,1.4,68670
V0000212,Volkswagen,Van,2009,248582,4.3,72475
V0000213,Volkswagen,Convertible,2024,70196,1.5,6573
V0000214,Ford,Van,2024,244966,3.0,39373
V0000215,Honda,Van,2001,182689,1.9,87594
V0000216,Hyundai,Truck,2014,94849,4.4,54081
V0000217,Hyundai,Truck,2013,22950,4.6,44369
V0000218,Ford,SUV,2005,38654,1.1,83215
V0000219,Audi,Coupe,2014,127153,2.0,19751
V0000220,Ford,Coupe,2016,234904,3.7,72568
V0000221,Toyota,Sedan,2002,202824,2.1,57454
V0000222,Ford,Van,2008,146551,1.4,15555
V0000223,Toyota,SUV,2016,99971,1.6,17536
V0000224,Hyundai,SUV,2022,14135,3.5,61725
V0000225,Ford,Convertible,2020,125027,4.5,38944
V0000226,Volkswagen,Coupe,2014,233120,3.2,24587
V0000227,BMW,Coupe,2024,51288,1.3,67918
V0000228,Hyundai,Sedan,2022,223098,4.5,35393
V0000229,Hyundai,Truck,2002,241667,5.0,73157
V0000230,Kia,Sedan,2003,28190,1.7,65267
V0000231,Kia,Sedan,2000,249527,2.4,47467
V0000232,Kia,Truck,2001,282604,2.0,64374
V0000233,Toyota,Hatchback,2019,263681,1.4,39563
V0000234,Hyundai,Sedan,2013,253859,1.5,69085
V0000235,Toyota,SUV,2021,107127,3.9,63752
V0000236,Nissan,Hatchback,2013,212377,1.1,27342
V0000237,Mercedes,SUV,2018,37062,3.1,53503
V0000238,Mercedes,Convertible,2023,256201,1.4,68919
V0000239,Kia,Coupe,2008,273169,4.3,77749
V0000240,Hyundai,Hatchback,2004,238261,4.6,70213
V0000241,Ford,Coupe,2011,128570,3.0,78884
V0000242,Audi,Sedan,2000,246752,1.3,34882
V0000243,Audi,Sedan,2020,230859,5.0,36010
V0000244,Mercedes,SUV,2005,216990,3.7,71645
V0000245,Nissan,SUV,2015,111717,3.3,72658
V0000246,Kia,Sedan,2008,183585,4.4,20003
V0000247,Ford,Convertible,2021,232993,1.5,51655
V0000248,BMW,SUV,2004,206491,4.1,42032
V0000249,Volkswagen,Convertible,2010,155244,1.6,38695
V0000250,Honda,Coupe,2005,208155,3.8,36446
V0000251,Volkswagen,Coupe,2024,210532,1.6,32872
V0000252,Kia,Convertible,2000,248373,4.9,54422
V0000253,Hyundai,Hatchback,2006,71546,1.7,40905
V0000254,BMW,Hatchback,2007,271915,3.3,43656
V0000255,Volkswagen,Van,2003,209712,1.1,85991
V0000256,Volkswagen,Convertible,2008,72643,4.9,31956
V0000257,Volkswagen,Van,2003,218230,2.9,33262
V0000258,Hyundai,Van,2013,262901,2.3,55747
V0000259,Ford,Convertible,2024,277732,4.1,48255
V0000260,Ford,Sedan,2015,208541,1.8,12652
V0000261,Kia,Convertible,2015,12598,3.5,24327
V0000262,Kia,Truck,2016,245374,1.9,20073
V0000263,Kia,Convertible,2004,201805,4.3,77047
V0000264,Mercedes,Truck,2001,204996,2.9,55351
V0000265,Audi,Hatchback,2009,227851,4.4,20723
V0000266,Volkswagen,SUV,2011,42901,1.1,82632
V0000267,Hyundai,Sedan,2003,261281,2.7,44682
V0000268,Ford,Hatchback,2016,138386,2.7,28348
V0000269,Nissan,Coupe,2024,23029,1.2,49395
V0000270,Nissan,Van,2024,147177,3.6,79130
V0000271,Hyundai,Convertible,2009,205671,1.8,87484
V0000272,Audi,Van,2003,131977,1.0,45546
V0000273,BMW,SUV,2015,174086,3.3,58683
V0000274,Mercedes,Truck,2009,298231,3.9,53272
V0000275,Audi,Hatchback,2020,90844,5.0,13565
V0000276,Hyundai,SUV,2010,122368,2.7,73526
V0000277,Mercedes,Truck,2009,273053,3.3,78586
V0000278,Honda,Coupe,2015,38431,4.3,71544
V0000279,Kia,Convertible,2000,278933,2.0,61577
V0000280,Volkswagen,Convertible,2008,147259,1.1,87845
V0000281,Audi,SUV,2009,254052,3.4,27973
V0000282,Audi,Van,2000,226831,1.0,67248
V0000283,Honda,Truck,2003,99130,4.9,28154
V0000284,Audi,Convertible,2007,110355,3.5,76018
V0000285,Volkswagen,Truck,2005,118970,4.0,71434
V0000286,Kia,Van,2023,5166,4.3,60610
V0000287,Hyundai,Convertible,2005,209175,4.8,26467
V0000288,Mercedes,Hatchback,2015,134257,3.3,21771
V0000289,Honda,SUV,2015,110486,1.9,63108
V0000290,Toyota,Hatchback,2010,38842,3.9,22346
V0000291,Kia,Truck,2021,271946,2.5,26650
V0000292,Honda,Hatchback,2012,189874,3.0,30459
V0000293,Kia,Coupe,2002,257603,3.9,24698
V0000294,Toyota,Van,2002,131917,5.0,87226
V0000295,Honda,Truck,2006,151786,2.6,22564
V0000296,Toyota,Hatchback,2001,120916,3.2,29835
V0000297,Mercedes,Truck,2018,170810,3.3,45347
V0000298,Ford,Convertible,2023,9510,3.3,29796
V0000299,BMW,Coupe,2024,122496,4.4,9028
V0000300,Ford,Van,2014,298878,4.2,66695
V0000301,Hyundai,Coupe,2000,183211,1.1,69118
V0000302,Toyota,Sedan,2009,167348,3.0,56501
V0000303,Toyota,Sedan,2022,43879,4.7,53820
V0000304,Audi,Van,2001,155695,3.8,73074
V0000305,Mercedes,Coupe,2017,64764,2.7,37389
V0000306,Toyota,SUV,2002,296245,5.0,63695
V0000307,Ford,Van,2006,193238,1.6,30813
V0000308,Nissan,Convertible,2014,196381,2.2,15890
V0000309,Kia,SUV,2004,291158,4.9,32291
V0000310,Nissan,Van,2010,218010,1.4,22128
V0000311,Kia,Hatchback,2006,164878,1.4,88492
V0000312,Volkswagen,Hatchback,2020,115924,2.5,75275
V0000313,Mercedes,Van,2020,271383,3.8,11261
V0000314,Nissan,Coupe,2014,62471,4.9,15259
V0000315,Nissan,Truck,2012,201666,4.2,67312
V0000316,Ford,SUV,2001,169164,2.2,55268
V0000317,Mercedes,Hatchback,2009,158439,2.2,45053
V0000318,Audi,Coupe,2003,26365,2.2,17092
V0000319,Audi,SUV,2020,125482,4.0,24852
V0000320,Audi,SUV,2021,142445,4.4,73401
V0000321,Nissan,Truck,2008,178440,4.9,64441
V0000322,Toyota,SUV,2017,156243,3.1,56017
V0000323,Hyundai,Sedan,2013,16890,4.5,41544
V0000324,Hyundai,Coupe,2013,283623,2.4,50711
V0000325,Volkswagen,Van,2003,5205,3.8,26838
V0000326,Volkswagen,Hatchback,2014,218874,3.8,52444
V0000327,Kia,Truck,2011,155766,1.9,14688
V0000328,Mercedes,Coupe,2018,266572,2.0,35390
V0000329,Nissan,Truck,2013,244887,1.2,21781
V0000330,Kia,Convertible,2021,65099,2.5,12684
V0000331,Kia,Convertible,2002,242322,2.5,45658
V0000332,Hyundai,Truck,2017,148174,4.0,69790
V0000333,Volkswagen,Truck,2006,84419,4.8,51648
V0000334,Kia,Coupe,2005,112931,2.0,78880
V0000335,Ford,Van,2020,283317,1.6,48692
V0000336,Mercedes,SUV,2004,229807,3.4,49497
V0000337,BMW,SUV,2018,171006,4.1,55270
V0000338,BMW,Truck,2009,55159,5.0,79455
V0000339,Audi,Convertible,2017,54437,2.9,62495
V0000340,Toyota,Truck,2005,249864,4.6,29520
V0000341,Kia,Sedan,2004,88956,2.3,43840
V0000342,Mercedes,Coupe,2006,132563,2.8,65110
V0000343,Volkswagen,Convertible,2010,162582,2.6,83841
V0000344,Mercedes,Van,2020,169981,1.6,25452
V0000345,BMW,SUV,2017,171066,2.5,20284
V0000346,Mercedes,Sedan,2022,55344,2.3,62102
V0000347,BMW,Hatchback,2002,132162,3.9,42122
V0000348,Toyota,Van,2007,273596,4.8,53225
V0000349,Hyundai,Convertible,2018,218536,2.1,42053
V0000350,Ford,SUV,2018,149261,3.0,29644
V0000351,Nissan,Sedan,2001,119043,4.3,61486
V0000352,Honda,SUV,2016,32298,4.8,78386
V0000353,Toyota,SUV,2023,140657,3.4,74040
V0000354,Nissan,Hatchback,2010,178998,1.1,58823
V0000355,Audi,Hatchback,2006,182780,4.3,35392
V0000356,BMW,Coupe,2006,154302,4.5,52499
V0000357,Hyundai,Van,2000,104535,1.3,41128
V0000358,Volkswagen,Convertible,2013,44755,3.0,74384
V0000359,Mercedes,Sedan,2008,294114,1.2,22577
V0000360,Mercedes,Convertible,2023,291664,2.2,41596
V0000361,Toyota,Truck,2004,97486,3.0,55479
V0000362,Kia,Coupe,2022,210729,1.1,80676
V0000363,Honda,Convertible,2014,31701,2.4,10969
V0000364,Volkswagen,SUV,2008,261870,2.3,51615
V0000365,Ford,Coupe,2021,184658,3.3,52701
V0000366,Nissan,Sedan,2020,108217,3.5,42984
V0000367,Mercedes,Van,2021,239446,3.4,7015
V0000368,BMW,Hatchback,2023,130739,1.9,7619
V0000369,Audi,Truck,2018,232194,4.4,82973
V0000370,Kia,Coupe,2012,69254,3.8,37716
V0000371,Audi,Truck,2001,199122,1.0,87508
V0000372,Volkswagen,Coupe,2020,207193,2.9,9153
V0000373,Nissan,Hatchback,2015,181735,1.4,26643
V0000374,Kia,Truck,2008,147708,3.5,61469
V0000375,Kia,Sedan,2000,292617,3.5,69150
V0000376,Mercedes,Hatchback,2013,249742,3.7,81348
V0000377,Volkswagen,Sedan,2002,130683,4.8,89788
V0000378,Volkswagen,Truck,2017,52652,2.3,15337
V0000379,Kia,Sedan,2001,297048,4.0,19916
V0000380,Nissan,Hatchback,2017,291670,4.0,48486
V0000381,Mercedes,Coupe,2018,232660,5.0,47179
V0000382,Toyota,Convertible,2012,65500,3.8,60504
V0000383,Volkswagen,SUV,2011,297713,1.8,42660
V0000384,Honda,SUV,2005,262013,1.9,29209
V0000385,Volkswagen,Convertible,2009,91009,1.4,60505
V0000386,BMW,Van,2014,68201,4.3,69748
V0000387,Kia,Convertible,2013,98528,1.2,56743
V0000388,Audi,Convertible,2020,149925,2.1,29249
V0000389,Ford,Coupe,2024,75720,2.0,29507
V0000390,Hyundai,SUV,2021,283890,4.6,62760
V0000391,Volkswagen,Hatchback,2002,15407,3.5,55694
V0000392,Ford,SUV,2014,296764,5.0,45335
V0000393,Mercedes,Coupe,2002,165587,3.7,62638
V0000394,Honda,Sedan,2011,286910,3.8,53109
V0000395,Honda,Convertible,2002,180589,1.0,74610
V0000396,BMW,Coupe,2019,238418,1.8,30057
V0000397,Volkswagen,Van,2014,9426,2.1,72773
V0000398,Nissan,Truck,2010,278568,4.5,28801
V0000399,BMW,Coupe,2013,176802,1.7,51302
V0000400,Nissan,Truck,2019,268240,2.1,40875
V0000401,Hyundai,Sedan,2006,6695,1.4,26204
V0000402,Ford,Truck,2014,78443,1.5,40418
V0000403,Nissan,SUV,2022,35146,5.0,52935
V0000404,Nissan,Convertible,2015,88750,4.3,53224
V0000405,Mercedes,Sedan,2006,256777,2.2,81044
V0000406,Volkswagen,Sedan,2011,257332,1.6,53824
V0000407,Ford,Convertible,2016,44672,2.2,73000
V0000408,Toyota,Hatchback,2022,3767,2.6,50160
V0000409,BMW,Hatchback,2014,196922,3.8,12034
V0000410,Nissan,Coupe,2001,137730,3.0,89775
V0000411,Nissan,SUV,2012,146908,4.6,24162
V0000412,Ford,Sedan,2014,207770,2.0,10254
V0000413,Toyota,Coupe,2021,84499,1.2,45012
V0000414,Audi,Truck,2016,225248,3.3,82896
V0000415,Audi,Hatchback,2007,191650,2.5,77121
V0000416,Mercedes,Hatchback,2019,83788,1.7,24740
V0000417,Volkswagen,Sedan,2014,27998,3.7,41256
V0000418,Mercedes,SUV,2013,13904,4.6,38457
V0000419,BMW,Truck,2005,57398,4.7,64109
V0000420,Audi,Van,2006,147085,2.6,37594
V0000421,Volkswagen,Coupe,2017,164440,2.0,63497
V0000422,Hyundai,Truck,2014,102659,2.4,47735
V0000423,Toyota,SUV,2003,171181,1.6,58657
V0000424,Kia,Coupe,2015,290140,1.6,55383
V0000425,Audi,Hatchback,2011,264139,2.1,21258
V0000426,Hyundai,Sedan,2014,159853,4.3,15588
V0000427,Volkswagen,Convertible,2018,292301,4.9,46152
V0000428,BMW,Van,2023,255231,2.9,14988
V0000429,Honda,Sedan,2016,225635,4.0,9527
V0000430,Ford,Van,2008,5191,3.4,53839
V0000431,Toyota,Sedan,2010,109380,3.8,78685
V0000432,Ford,Convertible,2023,14339,4.2,64193
V0000433,Nissan,Coupe,2002,150168,2.8,53581
V0000434,Mercedes,Truck,2016,87636,4.8,10699
V0000435,BMW,Sedan,2018,65839,2.4,63104
V0000436,Nissan,Hatchback,2018,133849,1.8,82757
V0000437,Honda,Coupe,2009,117177,3.2,70876
V0000438,Toyota,Hatchback,2005,244116,1.1,58761
V0000439,Mercedes,Sedan,2009,277224,3.8,37826
V0000440,Mercedes,Coupe,2010,88493,1.1,23871
V0000441,Hyundai,Hatchback,2017,140681,3.1,26450
V0000442,Ford,Convertible,2002,42168,4.5,87521
V0000443,BMW,Truck,2003,191251,3.5,77791
V0000444,Kia,Sedan,2019,112145,4.4,22959
V0000445,Honda,Hatchback,2017,23348,3.2,79173
V0000446,Mercedes,Van,2013,191050,4.6,60072
V0000447,Hyundai,Sedan,2020,121680,1.0,55360
V0000448,Hyundai,Van,2021,225075,4.5,44018
V0000449,Ford,Van,2009,33019,4.7,25094
V0000450,Volkswagen,Coupe,2000,272128,4.1,91898
V0000451,Audi,Van,2006,293860,4.0,54903
V0000452,Toyota,Sedan,2002,187015,3.7,30858
V0000453,BMW,Van,2008,191373,1.2,32947
V0000454,BMW,Sedan,2013,132401,4.1,84048
V0000455,Kia,Coupe,2016,154707,2.0,67260
V0000456,Honda,Sedan,2005,16752,3.6,22817
V0000457,BMW,Coupe,2020,167337,2.5,78243
V0000458,Ford,Van,2012,168734,4.6,56239
V0000459,Hyundai,Sedan,2006,44619,1.7,19706
V0000460,Ford,Sedan,2008,32258,2.6,52728
V0000461,Hyundai,Convertible,2009,142729,2.8,43396
V0000462,Toyota,SUV,2008,272920,1.5,50570
V0000463,Ford,Convertible,2009,215298,3.9,78268
V0000464,Honda,Van,2000,209910,1.7,40856
V0000465,Honda,Coupe,2019,97730,1.5,44926
V0000466,Volkswagen,Coupe,2015,46615,1.3,9681
V0000467,BMW,Convertible,2005,262216,3.3,45110
V0000468,Nissan,SUV,2009,205558,3.9,57957
V0000469,BMW,Van,2008,76243,1.8,14763
V0000470,Audi,Coupe,2023,278360,2.2,10563
V0000471,Hyundai,Truck,2012,103133,1.5,67981
V0000472,Audi,Truck,2008,86337,4.5,71833
V0000473,Hyundai,SUV,2017,58624,2.1,14950
V0000474,Honda,Coupe,2019,114139,1.8,34994
V0000475,Kia,SUV,2022,192944,3.3,27908
V0000476,Honda,Truck,2003,154496,4.2,78444
V0000477,Volkswagen,SUV,2015,170458,3.6,56739
V0000478,Honda,Coupe,2007,66885,4.2,65746
V0000479,Mercedes,Sedan,2011,262725,4.7,15807
V0000480,Kia,Coupe,2022,153798,4.7,62361
V0000481,Toyota,Coupe,2013,100520,3.4,80379
V0000482,Nissan,SUV,2003,81864,1.5,18567
V0000483,Mercedes,SUV,2015,32410,3.3,76337
V0000484,Ford,Hatchback,2024,147567,1.2,76448
V0000485,Volkswagen,Hatchback,2003,57543,3.4,33886
V0000486,Honda,Convertible,2001,67112,1.2,56284
V0000487,Volkswagen,Coupe,2008,2010,1.4,34212
V0000488,Audi,Truck,2001,37215,2.1,88157
V0000489,Hyundai,Sedan,2021,285606,3.3,32781
V0000490,Honda,Convertible,2001,22338,3.0,27811
V0000491,Mercedes,Coupe,2013,103387,3.3,21480
V0000492,Audi,Van,2020,294133,4.4,36417
V0000493,Volkswagen,Hatchback,2013,112614,4.3,72739
V0000494,Honda,Convertible,2024,181417,3.1,22225
V0000495,Nissan,Truck,2018,40305,2.4,32916
V0000496,Ford,Van,2003,226449,2.4,32256
V0000497,BMW,Truck,2007,106466,4.9,45554
V0000498,Ford,Truck,2002,202692,1.4,83872
V0000499,Nissan,Van,2010,155227,1.5,80108
V0000500,Kia,Convertible,2008,245537,3.7,49541
V0000501,Ford,Convertible,2020,228966,1.8,71559
V0000502,Honda,SUV,2001,91168,1.8,73476
V0000503,Mercedes,Coupe,2000,22813,2.0,54868
V0000504,Honda,Van,2023,1272,1.2,78805
V0000505,Audi,Truck,2020,61160,1.5,23510
V0000506,Hyundai,Truck,2012,113975,4.1,78676
